"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","kod_sdmx"
"CS","POHLAVI",102,"1","muž","muž","1900-01-01","9999-09-09","M"
"CS","POHLAVI",102,"2","žena","žena","1900-01-01","9999-09-09","F"
